algorithm,load,server,run,latency_ms,latency_concurrent_ms,requests_per_second,transfer_rate_kbps,concurrency_level,complete_requests,failed_requests,time_taken,document_length,total_transferred,html_transferred
lc,Rendah,server1,run1,14.719,0.294,3396.90,1698.45,50,1000,0,0.294,268,512000,268000
lc,Rendah,server1,run2,14.518,0.290,3443.92,1762.32,50,1000,0,0.290,280,524000,280000
lc,Rendah,server1,run3,14.041,0.281,3560.97,1863.95,50,1000,0,0.281,292,536000,292000
lc,Rendah,server2,run1,16.063,0.321,3112.69,1556.34,50,1000,0,0.321,268,512000,268000
lc,Rendah,server2,run2,14.248,0.285,3509.23,1795.74,50,1000,0,0.285,280,524000,280000
lc,Rendah,server2,run3,14.392,0.288,3474.22,1818.54,50,1000,0,0.288,292,536000,292000
lc,Sedang,server1,run1,14.155,0.283,3532.43,1893.85,50,1000,0,0.283,305,549000,305000
lc,Sedang,server1,run2,14.630,0.293,3417.63,1875.69,50,1000,0,0.293,318,562000,318000
lc,Sedang,server1,run3,14.146,0.283,3534.46,1984.68,50,1000,0,0.283,331,575000,331000
lc,Sedang,server2,run1,13.955,0.279,3582.86,1920.89,50,1000,0,0.279,305,549000,305000
lc,Sedang,server2,run2,14.986,0.300,3336.34,1831.08,50,1000,0,0.300,318,562000,318000
lc,Sedang,server2,run3,14.414,0.288,3468.92,1947.88,50,1000,0,0.288,331,575000,331000
lc,Tinggi,server1,run1,14.161,0.283,3530.87,2030.94,50,1000,0,0.283,345,589000,345000
lc,Tinggi,server1,run2,14.930,0.299,3348.96,1972.09,50,1000,0,0.299,359,603000,359000
lc,Tinggi,server1,run3,14.347,0.287,3485.15,2099.94,50,1000,0,0.287,373,617000,373000
lc,Tinggi,server2,run1,13.965,0.279,3580.35,2059.40,50,1000,0,0.279,345,589000,345000
lc,Tinggi,server2,run2,14.179,0.284,3526.45,2076.61,50,1000,0,0.284,359,603000,359000
lc,Tinggi,server2,run3,15.526,0.311,3220.39,1940.41,50,1000,0,0.311,373,617000,373000
rr,Rendah,server1,run1,26.241,0.525,1905.41,569.39,50,1000,0,0.525,99,306000,99000
rr,Rendah,server1,run2,17.559,0.351,2847.59,1131.81,50,1000,0,0.351,163,407000,163000
rr,Rendah,server1,run3,16.332,0.327,3061.55,1252.72,50,1000,0,0.327,175,419000,175000
rr,Rendah,server2,run1,26.636,0.533,1877.17,560.95,50,1000,0,0.533,99,306000,99000
rr,Rendah,server2,run2,17.466,0.349,2862.75,1137.83,50,1000,0,0.349,163,407000,163000
rr,Rendah,server2,run3,16.406,0.328,3047.68,1247.05,50,1000,0,0.328,175,419000,175000
rr,Sedang,server1,run1,16.073,0.321,3110.72,1312.33,50,1000,0,0.321,188,432000,188000
rr,Sedang,server1,run2,16.312,0.326,3065.28,1332.08,50,1000,0,0.326,201,445000,201000
rr,Sedang,server1,run3,14.575,0.292,3430.48,1534.34,50,1000,0,0.292,214,458000,214000
rr,Sedang,server2,run1,14.239,0.285,3511.53,1481.43,50,1000,0,0.285,188,432000,188000
rr,Sedang,server2,run2,15.321,0.306,3263.54,1418.24,50,1000,0,0.306,201,445000,201000
rr,Sedang,server2,run3,15.273,0.305,3273.78,1464.25,50,1000,0,0.305,214,458000,214000
rr,Tinggi,server1,run1,14.375,0.288,3478.20,1603.23,50,1000,0,0.288,228,472000,228000
rr,Tinggi,server1,run2,14.429,0.289,3465.27,1644.65,50,1000,0,0.289,242,486000,242000
rr,Tinggi,server1,run3,16.342,0.327,3059.56,1493.93,50,1000,0,0.327,256,500000,256000
rr,Tinggi,server2,run1,14.996,0.300,3334.17,1536.84,50,1000,0,0.300,228,472000,228000
rr,Tinggi,server2,run2,14.020,0.280,3566.37,1692.63,50,1000,0,0.280,242,486000,242000
rr,Tinggi,server2,run3,15.011,0.300,3330.91,1626.42,50,1000,0,0.300,256,500000,256000
