172.26.0.1 - - [01/May/2025:10:47:12 +0000] "GET / HTTP/1.1" 502 157 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0" "-" upstream_addr=172.26.0.4:3000, 172.26.0.2:3000 upstream_response_time=3.110, 3.070
172.26.0.1 - - [01/May/2025:10:47:13 +0000] "GET /favicon.ico HTTP/1.1" 502 157 "http://localhost:8080/" "Mozilla/5.0 (X11; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0" "-" upstream_addr=backend_servers upstream_response_time=0.000
172.26.0.1 - - [01/May/2025:10:49:10 +0000] "GET / HTTP/1.1" 200 23 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0" "-" upstream_addr=172.26.0.2:3000 upstream_response_time=0.006
172.26.0.1 - - [01/May/2025:10:49:23 +0000] "GET / HTTP/1.1" 200 23 "-" "curl/8.12.1" "-" upstream_addr=172.26.0.3:3000 upstream_response_time=0.007
172.26.0.1 - - [01/May/2025:10:49:35 +0000] "GET / HTTP/1.1" 200 23 "-" "curl/8.12.1" "-" upstream_addr=172.26.0.2:3000 upstream_response_time=0.001
172.26.0.1 - - [01/May/2025:10:49:35 +0000] "GET / HTTP/1.1" 200 23 "-" "curl/8.12.1" "-" upstream_addr=172.26.0.3:3000 upstream_response_time=0.002
172.26.0.1 - - [01/May/2025:10:49:36 +0000] "GET / HTTP/1.1" 200 23 "-" "curl/8.12.1" "-" upstream_addr=172.26.0.2:3000 upstream_response_time=0.002
172.26.0.1 - - [01/May/2025:10:49:37 +0000] "GET / HTTP/1.1" 200 23 "-" "curl/8.12.1" "-" upstream_addr=172.26.0.3:3000 upstream_response_time=0.001
172.26.0.1 - - [01/May/2025:10:49:38 +0000] "GET / HTTP/1.1" 200 23 "-" "curl/8.12.1" "-" upstream_addr=172.26.0.2:3000 upstream_response_time=0.001
172.26.0.1 - - [01/May/2025:10:52:04 +0000] "GET /api/delay/1000 HTTP/1.1" 200 101 "-" "curl/8.12.1" "-" upstream_addr=172.26.0.3:3000 upstream_response_time=1.004
172.26.0.1 - - [01/May/2025:10:53:32 +0000] "GET / HTTP/1.0" 200 23 "-" "ApacheBench/2.3" "-" upstream_addr=172.26.0.2:3000 upstream_response_time=0.001
172.26.0.1 - - [01/May/2025:10:53:32 +0000] "GET / HTTP/1.0" 200 23 "-" "ApacheBench/2.3" "-" upstream_addr=172.26.0.2:3000 upstream_response_time=0.004
